Date,Open,High,Low,Close,Volume
9/1/2022 16:00:00,272.58,277.58,266.15,277.16,54287024
9/2/2022 16:00:00,281.07,282.35,269.08,270.21,50890090
9/6/2022 16:00:00,272.68,275.99,265.74,274.42,55859984
9/7/2022 16:00:00,273.1,283.84,272.27,283.7,50028916
9/8/2022 16:00:00,281.3,289.5,279.76,289.26,53713124
9/9/2022 16:00:00,291.67,299.85,291.25,299.68,54470854
9/12/2022 16:00:00,300.72,305.49,300.4,304.42,48674604
9/13/2022 16:00:00,292.9,297.4,290.4,292.13,68229619
9/14/2022 16:00:00,292.24,306,291.64,302.61,72628653
9/15/2022 16:00:00,301.83,309.12,300.72,303.75,64795523
9/16/2022 16:00:00,299.61,303.71,295.6,303.35,87087786
9/19/2022 16:00:00,300.09,309.84,297.8,309.07,60231156
9/20/2022 16:00:00,306.91,313.33,305.58,308.73,61642783
9/21/2022 16:00:00,308.29,313.8,300.63,300.8,62555656
9/22/2022 16:00:00,299.86,301.29,285.82,288.59,70545413
9/23/2022 16:00:00,283.09,284.5,272.82,275.33,63748362
9/26/2022 16:00:00,271.83,284.09,270.31,276.01,58076913
9/27/2022 16:00:00,283.84,288.67,277.51,282.94,61925185
9/28/2022 16:00:00,283.08,289,277.57,287.81,54664809
9/29/2022 16:00:00,282.76,283.65,265.78,268.21,77620642
9/30/2022 16:00:00,266.15,275.57,262.47,265.25,67726598
10/3/2022 16:00:00,254.5,255.16,241.01,242.4,98363541
10/4/2022 16:00:00,250.52,257.5,242.01,249.44,109578535
10/5/2022 16:00:00,245.01,246.67,233.27,240.81,86982673
10/6/2022 16:00:00,239.44,244.58,235.35,238.13,69298437
10/7/2022 16:00:00,233.94,234.57,222.02,223.07,83916800
10/10/2022 16:00:00,223.93,226.99,218.36,222.96,67925018
10/11/2022 16:00:00,220.95,225.75,215,216.5,77013202
10/12/2022 16:00:00,215.33,219.3,211.51,217.24,66860699
10/13/2022 16:00:00,208.3,222.99,206.22,221.72,91483045
10/14/2022 16:00:00,224.01,226.26,204.16,204.99,94124511
10/17/2022 16:00:00,210.04,221.86,209.45,219.35,79428810
10/18/2022 16:00:00,229.5,229.82,217.25,220.19,75891905
10/19/2022 16:00:00,219.8,222.93,217.78,222.04,66571479